path,label
/parai/drum_samples/hihat/hi hat (48).wav,hihat
/parai/drum_samples/snare/young chop sn.wav,snare
/parai/drum_samples/808/808 (Tunnel Vision).wav,808
/parai/drum_samples/kick/dioxide kick.wav,kick
/parai/drum_samples/kick/Kick (Titanic).wav,kick
/parai/drum_samples/kick/radical kick.wav,kick
/parai/drum_samples/808/808 - cant relate.wav,808
/parai/drum_samples/808/808 (7).wav,808
/parai/drum_samples/808/Dynox - Power 808 @dynoxmusic.wav,808
/parai/drum_samples/snare/NOST - Snare 06.wav,snare
/parai/drum_samples/808/Ayeplu$ - Panic 808.wav,808
/parai/drum_samples/808/+ayo 808 @thecxdy.wav,808
/parai/drum_samples/snare/snare (2).wav,snare
/parai/drum_samples/hihat/Hi Hat - [Haze] @looplegend_.wav,hihat
/parai/drum_samples/clap/Dynox - Pierre Clap @dynoxmusic.wav,clap
/parai/drum_samples/808/808 - studio.wav,808
/parai/drum_samples/808/808 - [Silent] @looplegend_.wav,808
/parai/drum_samples/snare/snare (12).wav,snare
/parai/drum_samples/hihat/Hi Hat - [Wrong] @looplegend_.wav,hihat
/parai/drum_samples/openhat/808 mafia Open Hat.wav,openhat
/parai/drum_samples/snare/snare [wombocombo].wav,snare
/parai/drum_samples/808/ho ho 808 @thecxdy.wav,808
/parai/drum_samples/snare/snare (deadwrong).wav,snare
/parai/drum_samples/hihat/hi hat (15).wav,hihat
/parai/drum_samples/clap/CLAP #4 @taddybbear.wav,clap
/parai/drum_samples/clap/clap [ra].wav,clap
/parai/drum_samples/hihat/hihat - shy @rip.warheart.wav,hihat
/parai/drum_samples/snare/Snare (Coconut Oil).wav,snare
/parai/drum_samples/openhat/MT2_Notice OH.wav,openhat
/parai/drum_samples/808/LC 808 2.wav,808
/parai/drum_samples/clap/clap (1).wav,clap
/parai/drum_samples/snare/[] snare - yeet.wav,snare
/parai/drum_samples/kick/Kick - [Too Hard] @looplegend_.wav,kick
/parai/drum_samples/clap/Clap 2.wav,clap
/parai/drum_samples/808/808 (92).wav,808
/parai/drum_samples/openhat/#bama open crash (tempo sync_d) @thecxdy.wav,openhat
/parai/drum_samples/clap/clap (9).wav,clap
/parai/drum_samples/clap/clap (19).wav,clap
/parai/drum_samples/openhat/soo [open].mp3,openhat
/parai/drum_samples/clap/clap [dagger].wav,clap
/parai/drum_samples/808/root chakra 808.wav,808
/parai/drum_samples/808/leaf 808 @thecxdy.wav,808
/parai/drum_samples/snare/fkn alt sn @thecxdy.wav,snare
/parai/drum_samples/clap/mastiff clap @thecxdy.wav,clap
/parai/drum_samples/808/808 (36).wav,808
/parai/drum_samples/clap/MT2_Alien Clap.wav,clap
/parai/drum_samples/kick/hard hard kick.wav,kick
/parai/drum_samples/808/NOST - 808 #5 (C).wav,808
/parai/drum_samples/808/808 - [ZaySpinz] @looplegend_.wav,808
/parai/drum_samples/kick/Dynox - Sauce Kick @dynoxmusic.wav,kick
/parai/drum_samples/snare/snare [golem].wav,snare
/parai/drum_samples/hihat/LC Dark Hat 2.wav,hihat
/parai/drum_samples/clap/clap (29).wav,clap
/parai/drum_samples/808/808 [key].wav,808
/parai/drum_samples/kick/Kick - [Tiny] @looplegend_.wav,kick
/parai/drum_samples/clap/CLAP - break the bank.wav,clap
/parai/drum_samples/clap/[] clap - dream.wav,clap
/parai/drum_samples/808/[] 808 - index.wav,808
/parai/drum_samples/snare/filler sn @thecxdy.wav,snare
/parai/drum_samples/clap/Carousel Clap @khemics_.wav,clap
/parai/drum_samples/808/808 #2 @taddybbear.wav,808
/parai/drum_samples/snare/Kamikaze SN @khemics_.wav,snare
/parai/drum_samples/clap/clap (45).wav,clap
/parai/drum_samples/hihat/hi hat (3).wav,hihat
/parai/drum_samples/openhat/space open hat @thecxdy.wav,openhat
/parai/drum_samples/openhat/Open-hat 4.wav,openhat
/parai/drum_samples/hihat/time [hh].wav,hihat
/parai/drum_samples/808/XanGang 808.wav,808
/parai/drum_samples/808/twat 808.wav,808
/parai/drum_samples/openhat/Open-hat 3.wav,openhat
/parai/drum_samples/hihat/hh [sword].wav,hihat
/parai/drum_samples/snare/snare (trav).wav,snare
/parai/drum_samples/clap/clap (20).wav,clap
/parai/drum_samples/hihat/hi hat (25).wav,hihat
/parai/drum_samples/kick/KICK - my favorite.wav,kick
/parai/drum_samples/openhat/brick oh.wav,openhat
/parai/drum_samples/snare/rock alt sn @thecxdy.wav,snare
/parai/drum_samples/kick/toenail [kick].wav,kick
/parai/drum_samples/808/808 6.wav,808
/parai/drum_samples/snare/[] snare - roaming.wav,snare
/parai/drum_samples/openhat/OP 4.wav,openhat
/parai/drum_samples/hihat/zesty hh.wav,hihat
/parai/drum_samples/808/artic 808 @thecxdy ~patreon~.wav,808
/parai/drum_samples/kick/Jump Kick @khemics_.wav,kick
/parai/drum_samples/808/808 (12).wav,808
/parai/drum_samples/clap/MT2_Combo Clap.wav,clap
/parai/drum_samples/hihat/PLUG HI HAT (4).wav,hihat
/parai/drum_samples/808/808 (63).wav,808
/parai/drum_samples/clap/clap (28).wav,clap
/parai/drum_samples/openhat/cursive open hat @thecxdy.wav,openhat
/parai/drum_samples/clap/cri$py clap.wav,clap
/parai/drum_samples/808/808 (27).wav,808
/parai/drum_samples/kick/KICK #2 @taddybbear.wav,kick
/parai/drum_samples/808/mumble 808.wav,808
/parai/drum_samples/808/Chromehearts 808 @khemics_.wav,808
/parai/drum_samples/808/808 (dap).wav,808
/parai/drum_samples/openhat/Simple OH @khemics_.wav,openhat
/parai/drum_samples/snare/dreamcast2 Snare (4).wav,snare
/parai/drum_samples/hihat/hi hat (49).wav,hihat
/parai/drum_samples/hihat/HH (Perky).wav,hihat
/parai/drum_samples/808/808 - [Zaytoven] @looplegend_.wav,808
/parai/drum_samples/hihat/HH (Sparkler).wav,hihat
/parai/drum_samples/clap/clap (richguy).wav,clap
/parai/drum_samples/snare/snare - delayed @didusayaster.wav,snare
/parai/drum_samples/snare/Snare 4 (or perc).wav,snare
/parai/drum_samples/clap/MT2_X Clap.wav,clap
/parai/drum_samples/openhat/open hat (27).wav,openhat
/parai/drum_samples/808/808 18.wav,808
/parai/drum_samples/kick/[] kick - r34.wav,kick
/parai/drum_samples/kick/KICK #3 @taddybbear.wav,kick
/parai/drum_samples/clap/clap - creatine @rip.warheart.wav,clap
/parai/drum_samples/808/808 (Double Take).wav,808
/parai/drum_samples/hihat/mango [hh].wav,hihat
/parai/drum_samples/clap/NOST - Clap 08.wav,clap
/parai/drum_samples/openhat/open hat (21).wav,openhat
/parai/drum_samples/snare/[] snare - index.wav,snare
/parai/drum_samples/808/jungle 808.wav,808
/parai/drum_samples/808/808 20.wav,808
/parai/drum_samples/hihat/Goyxrd MainHH.wav,hihat
/parai/drum_samples/openhat/pyrex [open].wav,openhat
/parai/drum_samples/808/MT2_Sherb 808.wav,808
/parai/drum_samples/808/808 1.wav,808
