path,label
/parai/drum_samples/clap/Clap - [Sunk] @looplegend_.wav,clap
/parai/drum_samples/openhat/open hat (47).wav,openhat
/parai/drum_samples/snare/Snare 14.wav,snare
/parai/drum_samples/hihat/hihat - memory @rip.warheart.wav,hihat
/parai/drum_samples/kick/[] kick - shuhoku.wav,kick
/parai/drum_samples/clap/clap [alana].wav,clap
/parai/drum_samples/clap/clap (17).wav,clap
/parai/drum_samples/snare/snare - close @didusayaster.wav,snare
/parai/drum_samples/snare/Snare (Rent Free).wav,snare
/parai/drum_samples/openhat/open hat - facetime @rip.warheart.wav,openhat
/parai/drum_samples/clap/clap (47).wav,clap
/parai/drum_samples/808/808 2 copy.wav,808
/parai/drum_samples/hihat/Dynox - Dox HiHat @dynoxmusic.wav,hihat
/parai/drum_samples/808/808 (45).wav,808
/parai/drum_samples/808/MT2_Submarina 808.wav,808
/parai/drum_samples/808/808 (lenoxsquare).wav,808
/parai/drum_samples/clap/pint clap @thecxdy.wav,clap
/parai/drum_samples/snare/snare - nostalgic @didusayaster.wav,snare
/parai/drum_samples/clap/CLAP - iced up.wav,clap
/parai/drum_samples/snare/Snare 6.wav,snare
/parai/drum_samples/808/Descend 808 @khemics_.wav,808
/parai/drum_samples/hihat/HH (Armory).wav,hihat
/parai/drum_samples/snare/magic snare.wav,snare
/parai/drum_samples/808/808 Slaughter House (G#).wav,808
/parai/drum_samples/openhat/OP 8.wav,openhat
/parai/drum_samples/openhat/open hat (53).wav,openhat
/parai/drum_samples/808/Goyxrd 8081.wav,808
/parai/drum_samples/snare/snare (3).wav,snare
/parai/drum_samples/808/bones 808 @thecxdy.wav,808
/parai/drum_samples/808/808 - [Knife] @looplegend_.wav,808
/parai/drum_samples/808/808 (93).wav,808
/parai/drum_samples/openhat/Open Hat - [Drown] @looplegend_.wav,openhat
/parai/drum_samples/hihat/hi hat (45).wav,hihat
/parai/drum_samples/808/XanGang Sub  (3).wav,808
/parai/drum_samples/clap/Clap (Simple).wav,clap
/parai/drum_samples/hihat/hihat - soft @didusayaster.wav,hihat
/parai/drum_samples/808/MT2_Extra 808.wav,808
/parai/drum_samples/clap/High Clap @khemics_.wav,clap
